1.{entity|实体}
1.1.{thing|万物}
1.1.1.{physical|物质}
1.1.1.1.{animate|生物}
1.1.1.1.1.{AnimalHuman|动物}
1.1.1.1.1.1.{human|人}
1.1.1.1.1.1.1.{humanized|拟人}
1.1.1.1.1.2.{animal|兽}
1.1.1.1.1.2.1.{beast|走兽}
1.1.1.1.1.2.2.{livestock|牲畜}
1.1.1.1.1.2.3.{bird|禽}
1.1.1.1.1.2.4.{InsectWorm|虫}
1.1.1.1.1.2.5.{fish|鱼}
1.1.1.1.2.{plant|植物}
1.1.1.1.2.1.{crop|庄稼}
1.1.1.1.2.2.{tree|树}
1.1.1.1.2.3.{FlowerGrass|花草}
1.1.1.1.2.4.{vegetable|蔬菜}
1.1.1.1.2.5.{fruit|水果}
1.1.1.1.2.6.{AlgaeFungi|低植}
1.1.1.1.3.{bacteria|微生物}
1.1.1.2.{inanimate|无生物}
1.1.1.2.1.{NaturalThing|天然物}
1.1.1.2.1.1.{celestial|天体}
1.1.1.2.1.2.{earth|大地}
1.1.1.2.1.2.1.{land|陆地}
1.1.1.2.1.2.2.{waters|水域}
1.1.1.2.1.2.3.{sky|空域}
1.1.1.2.1.2.4.{place|地方}
1.1.1.2.1.3.{liquid|液}
1.1.1.2.1.3.1.{water|水}
1.1.1.2.1.3.1.1.{RainSnow|雨雪}
1.1.1.2.1.4.{ice|冰}
1.1.1.2.1.5.{metal|金属}
1.1.1.2.1.6.{wood|木}
1.1.1.2.1.7.{fire|火}
1.1.1.2.1.8.{stone|土石}
1.1.1.2.1.9.{gas|气}
1.1.1.2.1.9.1.{CloudMist|云雾}
1.1.1.2.1.9.2.{wind|风}
1.1.1.2.1.10.{thunder|雷}
1.1.1.2.1.11.{sound|声}
1.1.1.2.1.12.{electricity|电}
1.1.1.2.1.13.{lights|光}
1.1.1.2.1.14.{trace|痕}
1.1.1.2.1.{artifact|人工物}
1.1.1.2.1.1.{clothing|衣物}
1.1.1.2.1.2.{edible|食物}
1.1.1.2.1.2.1.{food|食品}
1.1.1.2.1.2.2.{drinks|饮品}
1.1.1.2.1.3.{medicine|药物}
1.1.1.2.1.4.{chemical|化学物}
1.1.1.2.1.5.{addictive|嗜好物}
1.1.1.2.1.6.{building|建筑物}
1.1.1.2.1.6.1.{house|房屋}
1.1.1.2.1.6.2.{room|房间}
1.1.1.2.1.6.3.{facilities|设施}
1.1.1.2.1.6.3.1.{bridge|桥梁}
1.1.1.2.1.6.3.2.{route|道路}
